Symbol,Maximum Close,Minimum Close,Current Close,Max-Min %,Current-Max %,Current-Min %,Date
THYROCARE,700.8499755859375,419.8999938964844,625.5499877929688,40.087035952960996,-12.037405365259147,32.87506960427694,2023-12-15
ORIENTCEM,260.04998779296875,105.8499984741211,253.10000610351562,59.296287851245545,-2.7459429165760847,58.1785871507133,2023-12-15
DREAMFOLKS,816.4500122070312,353.54998779296875,544.2000122070312,56.69667677054093,-50.027562273634665,35.03307977536999,2023-12-15
ETHOSLTD,2092.14990234375,949.5,1814.949951171875,54.61606269530142,-15.273145741175554,47.68450780767107,2023-12-15
GLOBUSSPR,1299.4000244140625,742.4500122070312,848.7000122070312,42.86209032958702,-53.104749113293025,12.51914675053421,2023-12-15
GANESHHOUC,472.6000061035156,266.6000061035156,407.79998779296875,43.588657922039665,-15.890147192315377,34.624812632691224,2023-12-15
ARVIND,248.60000610351562,79.8499984741211,248.60000610351562,67.8801301232181,0.0,67.8801301232181,2023-12-15
ICIL,312.0,102.8499984741211,293.95001220703125,67.03525689932016,-6.140495677290874,65.01105827419288,2023-12-15
SHRIPISTON,1519.0,496.6000061035156,1001.0,67.3074387028627,-51.74825174825175,50.38960977986857,2023-12-15
WOCKPHARMA,414.5,149.3000030517578,414.5,63.98069890186784,0.0,63.98069890186784,2023-12-15
DBREALTY,217.39999389648438,56.79999923706055,201.5,73.87304469561944,-7.890815829520783,71.81141477068955,2023-12-15
ISMTLTD,102.30000305175781,46.95000076293945,95.19999694824219,54.105572470818494,-7.457989843608627,50.68277072690982,2023-12-15
JINDALPOLY,847.6500244140625,489.70001220703125,644.5,42.22851435112786,-31.520562360599303,24.01861719053045,2023-12-15
WABAG,659.9000244140625,303.3500061035156,632.5999755859375,54.03091455059943,-4.315531122624323,52.04710436124478,2023-12-15
BAJAJCON,258.04998779296875,151.8000030517578,220.5500030517578,41.174187082874184,-17.002940023723596,31.17206939410743,2023-12-15
GENUSPOWER,285.04998779296875,79.0999984741211,234.5,72.25048171846572,-21.556497992737206,66.26865736711254,2023-12-15
BUTTERFLY,1588.9000244140625,1020.5,1034.050048828125,35.773177398223716,-53.657942013033264,1.310386169748852,2023-12-15
NAVNETEDUL,173.14999389648438,89.3499984741211,147.10000610351562,48.39734240618114,-17.709032435142888,39.25901103549603,2023-12-15
GOKEX,1000.2999877929688,341.54998779296875,895.25,65.85524423062785,-11.734151107843479,61.8486469932456,2023-12-15
APOLLOPIPE,763.7000122070312,474.3999938964844,701.0499877929688,37.88136882104967,-8.936598745446958,32.33007600642278,2023-12-15
LANDMARK,822.75,445.20001220703125,794.4000244140625,45.88878611886585,-3.5687279348773955,43.957704113188555,2023-12-15
IFCI,29.399999618530273,9.100000381469727,28.950000762939453,69.04761734849083,-1.5544001510593723,68.5664934657993,2023-12-15
ATFL,945.5999755859375,753.4500122070312,853.9500122070312,20.320428123937003,-10.732474040492978,11.768838756762594,2023-12-15
EVEREADY,431.25,277.45001220703125,365.54998779296875,35.663765285326086,-17.97292146108368,24.100664349039292,2023-12-15
AGI,1067.0,285.20001220703125,861.1500244140625,73.27085171443007,-23.90407823839992,66.8814951957895,2023-12-15
TI,280.3999938964844,95.8499984741211,251.3000030517578,65.8166902423307,-11.579781333601147,61.858337719805036,2023-12-15
ASHOKA,150.0500030517578,72.75,146.1999969482422,51.51616226565099,-2.6333831627086877,50.239397046119635,2023-12-15
SOMANYCERA,783.5499877929688,453.1499938964844,737.7000122070312,42.167060052814826,-6.215260244982885,38.572592327772604,2023-12-15
HCC,33.0,12.75,32.099998474121094,61.36363636363637,-2.8037432045502566,60.28037194369649,2023-12-15
JISLJALEQS,72.19999694824219,26.649999618530273,61.349998474121094,63.08864162745771,-17.685409525638185,56.56071673779767,2023-12-15
VINDHYATEL,2679.89990234375,1453.699951171875,2307.800048828125,45.75543848109707,-16.123574211057544,37.00927634913399,2023-12-15
FIEMIND,2134.14990234375,1450.75,2079.449951171875,32.02211342292459,-2.6305009717136407,30.233954455964223,2023-12-15
TASTYBITE,18925.150390625,8010.2998046875,14204.5,57.673785204604854,-33.23348509715231,43.60730891838854,2023-12-15
JAYNECOIND,51.849998474121094,20.600000381469727,51.849998474121094,60.27000773828101,0.0,60.27000773828101,2023-12-15
HONDAPOWER,3095.550048828125,1823.0,2404.89990234375,41.10901225163106,-28.71845708884957,24.19642920591606,2023-12-15
UNICHEMLAB,442.6499938964844,268.1000061035156,422.79998779296875,39.43295836434328,-4.694892780658149,36.58940069913262,2023-12-15
MUKANDLTD,191.4499969482422,111.94999694824219,174.75,41.52520306463757,-9.556507552642167,35.937054679117495,2023-12-15
CIGNITITEC,1178.75,527.2000122070312,1101.9000244140625,55.274654319658,-6.974314718506575,52.15536795297096,2023-12-15
MMFL,1074.6500244140625,795.7000122070312,922.5499877929688,25.95728896569139,-16.486915466224776,13.749929788563842,2023-12-15
VENKEYS,2260.699951171875,1425.3499755859375,1939.3499755859375,36.95094411591059,-16.56998373843523,26.503725808680027,2023-12-15
RAMKY,770.7000122070312,241.0,746.3499755859375,68.7297267182006,-3.2625493960761838,67.70951860609388,2023-12-15
DIVGIITTS,1129.800048828125,605.2000122070312,1000.4500122070312,46.43299822523733,-12.929185370865515,39.50722126816344,2023-12-15
CAMLINFINE,182.85000610351562,125.9000015258789,131.1999969482422,31.145749344627312,-39.367385942584384,4.039630751252308,2023-12-15
SHILPAMED,382.70001220703125,228.1999969482422,368.45001220703125,40.37105051755482,-3.867553135537137,38.064869212158655,2023-12-15
GULFOILLUB,696.5,400.04998779296875,654.75,42.56281582297649,-6.376479572355861,38.900345506992174,2023-12-15
MOL,115.94999694824219,72.25,75.05000305175781,37.68865726469058,-54.496991650057524,3.7308500171902805,2023-12-15
DOLLAR,470.5,314.70001220703125,422.70001220703125,33.11370622592322,-11.308253232213566,25.55003474830832,2023-12-15
VSTTILLERS,4115.85009765625,2105.10009765625,3862.550048828125,48.853820044248245,-6.557845092647402,45.49973279194337,2023-12-15
SUBROS,541.5499877929688,280.04998779296875,515.0499877929688,48.28732451194696,-5.145131662570203,45.626639271848966,2023-12-15
DCAL,173.60000610351562,82.0999984741211,160.3000030517578,52.70737581358964,-8.296944977264594,48.783532806538645,2023-12-15
GABRIEL,428.8999938964844,131.6999969482422,411.20001220703125,69.29354189265197,-4.30447012743315,67.97179157622841,2023-12-15
MAXVIL,216.0,216.0,216.0,0.0,0.0,0.0,2023-12-15
SIYSIL,613.75,403.54998779296875,536.7000122070312,34.24847449401731,-14.356248563535868,24.809022058061753,2023-12-15
TVSSRICHAK,5053.0498046875,2473.14990234375,4583.25,51.05629277491954,-10.250363927071401,46.03938466494845,2023-12-15
ASTRAMICRO,617.2999877929688,218.3000030517578,605.8499755859375,64.63631826200981,-1.8899088336114176,63.9679769169533,2023-12-15
JKIL,485.8500061035156,232.89999389648438,485.8500061035156,52.06339591012323,0.0,52.06339591012323,2023-12-15
JAGRAN,118.19999694824219,67.80000305175781,93.5,42.6395898458049,-26.417109035553143,27.486627752130683,2023-12-15
ELECTCAST,117.69999694824219,31.75,114.94999694824219,73.02463821306482,-2.392344561120976,72.37929461251237,2023-12-15
CARERATING,1004.75,555.0,915.9000244140625,44.762378701169446,-9.700837778968108,39.40386666600916,2023-12-15
INDIAGLYCO,784.8499755859375,530.0,697.5999755859375,32.47117073497731,-12.5071678689088,24.025226698892112,2023-12-15
BALMLAWRIE,188.35000610351562,109.1500015258789,188.35000610351562,42.0493772291725,0.0,42.0493772291725,2023-12-15
KOLTEPATIL,554.25,232.1999969482422,503.04998779296875,58.10554858849938,-10.177917393788452,53.84156593125601,2023-12-15
IMAGICAA,62.54999923706055,34.25,57.54999923706055,45.24380428815888,-8.688097421867807,40.48653266020552,2023-12-15
WELENT,343.95001220703125,118.69999694824219,333.20001220703125,65.48917204957272,-3.2262903980089206,64.3757525211347,2023-12-15
TIPSINDLTD,386.04998779296875,144.01499938964844,366.3999938964844,62.695245708211,-5.362989689905919,60.69459558169762,2023-12-15
SWARAJENG,2292.800048828125,1519.5,2280.14990234375,33.727321718410074,-0.5547945102807497,33.359644537487796,2023-12-15
MAYURUNIQ,579.5499877929688,400.04998779296875,559.7999877929688,30.972306751928073,-3.5280458075508494,28.536978114240412,2023-12-15
GANECOS,1116.949951171875,818.1500244140625,1005.4500122070312,26.751415893283255,-11.089555682643415,18.628473372021006,2023-12-15
PARAS,817.4000244140625,450.1000061035156,745.5999755859375,44.935161162227615,-9.629835190337847,39.63250793432499,2023-12-15
LUMAXTECH,441.79998779296875,211.14999389648438,384.20001220703125,52.206881002579145,-14.99218473603249,45.04164831137397,2023-12-15
ACCELYA,1712.449951171875,1077.4000244140625,1363.949951171875,37.08429121232016,-25.550790899664367,21.008830016938322,2023-12-15
KESORAMIND,169.14999389648438,54.79999923706055,169.14999389648438,67.60271876178913,0.0,67.60271876178913,2023-12-15
CARTRADE,863.75,347.8999938964844,766.75,59.722142530074166,-12.650798826214544,54.62667181004443,2023-12-15
MPSLTD,1833.800048828125,801.4000244140625,1764.5,56.29839660402504,-3.9274609707069996,54.582033187074956,2023-12-15
SEQUENT,126.5,62.25,117.5,50.790513833992094,-7.659574468085106,47.02127659574468,2023-12-15
HIL,3241.5,2239.449951171875,2913.050048828125,30.913158995160416,-11.275122145738806,23.123533285232394,2023-12-15
GUFICBIO,340.8999938964844,179.9499969482422,312.3500061035156,47.21325897034638,-9.14038329921051,42.388348509074426,2023-12-15
ITDCEM,295.0,95.0999984741211,295.0,67.76271238165387,0.0,67.76271238165387,2023-12-15
PILANIINVS,3154.85009765625,1614.8499755859375,3154.85009765625,48.813733597497524,0.0,48.813733597497524,2023-12-15
MSTCLTD,513.0499877929688,240.0,499.1499938964844,53.22093251918226,-2.7847328591507523,51.91826045583963,2023-12-15
LSIL,55.650001525878906,13.100000381469727,46.650001525878906,76.4600179294194,-19.29260387056426,71.91854243734042,2023-12-15
PANAMAPET,372.6000061035156,270.8500061035156,338.6499938964844,27.308104759325165,-10.025103445715342,20.020667064796484,2023-12-15
OPTIEMUS,368.95001220703125,163.25,338.95001220703125,55.75281349810757,-8.850862640381305,51.83655579859173,2023-12-15
SIRCA,426.79998779296875,289.1000061035156,390.3999938964844,32.26335183407933,-9.323769074170613,25.947743180505455,2023-12-15
TIRUMALCHM,242.14999389648438,170.0,215.35000610351562,29.7955794817519,-12.444851188017326,21.058743820846022,2023-12-15
DYNAMATECH,4670.60009765625,2322.5,4433.9501953125,50.27405576500862,-5.33722509093432,47.620070192594646,2023-12-15
SUNDARMHLD,171.85000610351562,75.5,153.6999969482422,56.06633848210526,-11.808724473420371,50.87833344237196,2023-12-15
